"Emp ID","Name Prefix","First Name","Middle Initial","Last Name","Gender","E Mail","Father's Name","Mother's Name","Mother's Maiden Name","Date of Birth","Time of Birth","Age in Yrs.","Weight in Kgs.","Date of Joining","Quarter of Joining","Half of Joining","Year of Joining","Month of Joining","Month Name of Joining","Short Month","Day of Joining","DOW of Joining","Short DOW","Age in Company (Years)","Salary","Last % Hike","SSN","Phone No.","Place Name","County","City","State","Zip","Region","User Name","Password"
"361359","Hon.","Laureen","Q","Lambert","F","laureen.lambert@exxonmobil.com","Roger Lambert","Carlee Lambert","Forest","2/23/1960","02:59:34 AM","57.47","52","7/31/2007","Q3","H2","2007","7","July","Jul","31","Tuesday","Tue","10","78201","6%","351-08-4760","217-920-8861","Chicago","Cook","Chicago","IL","60678","Midwest","lqlambert","M{SbIdMoK&n3M"
"884439","Mrs.","Micheal","A","Sarmiento","F","micheal.sarmiento@aol.com","Cameron Sarmiento","Sena Sarmiento","Sansone","7/17/1965","04:08:59 AM","52.07","60","3/21/1991","Q1","H1","1991","3","March","Mar","21","Thursday","Thu","26.37","81467","14%","135-25-1858","314-960-1816","Bonne Terre","St. Francois","Bonne Terre","MO","63628","Midwest","masarmiento","U#s|@cHRzK&."
"248437","Ms.","Tamra","A","Alessi","F","tamra.alessi@outlook.com","Raymundo Alessi","Maragaret Alessi","Kimmel","11/19/1977","12:01:01 AM","39.72","44","11/8/2004","Q4","H2","2004","11","November","Nov","8","Monday","Mon","12.73","90981","6%","623-85-6451","385-958-1406","Helper","Carbon","Helper","UT","84526","West","taalessi","a1w:>liL_POIge"
"845835","Dr.","Bernard","Q","Fessler","M","bernard.fessler@hotmail.co.uk","Otha Fessler","Summer Fessler","Helton","7/31/1958","05:21:47 AM","59.03","63","4/17/1980","Q2","H1","1980","4","April","Apr","17","Thursday","Thu","37.3","93610","10%","479-41-2508","219-322-7409","South Milford","LaGrange","South Milford","IN","46786","Midwest","bqfessler","u:6CBt@J"
"878763","Mr.","Ernest","N","Chasse","M","ernest.chasse@gmail.com","Kirk Chasse","Judie Chasse","Winkler","10/11/1995","08:49:57 AM","21.81","87","7/16/2017","Q3","H2","2017","7","July","Jul","16","Sunday","Sun","0.03","86598","11%","108-98-6029","303-439-6575","Littleton","Douglas","Littleton","CO","80124","West","enchasse","v?ItY/4Y"
"452667","Mr.","Jeffery","D","Girard","M","jeffery.girard@outlook.com","James Girard","Maribel Girard","Coss","8/13/1972","10:33:47 PM","44.99","66","6/17/1998","Q2","H1","1998","6","June","Jun","17","Wednesday","Wed","19.13","78719","23%","484-41-0566","603-385-6031","Freedom","Carroll","Freedom","NH","3836","Northeast","jdgirard","kOeSM^zRS@S"
"492759","Dr.","Eloy","V","Brune","M","eloy.brune@aol.com","Dwayne Brune","Jolyn Brune","Raymer","12/28/1972","12:12:23 AM","44.61","84","2/6/2015","Q1","H1","2015","2","February","Feb","6","Friday","Fri","2.47","170760","5%","657-36-8074","229-549-0978","Damascus","Damascus","Damascus","GA","39841","South","evbrune","yis46Ykl]zC&T+?"
"532795","Mr.","Carlo","B","Shotwell","M","carlo.shotwell@gmail.com","Daryl Shotwell","Lavina Shotwell","Eggers","6/11/1993","04:01:35 PM","24.15","90","9/23/2015","Q3","H2","2015","9","September","Sep","23","Wednesday","Wed","1.85","79470","4%","355-08-1456","212-431-1725","New York City","New York","New York City","NY","10112","Northeast","cbshotwell","uL0eP[_3Mgx<RQT"
"361215","Mrs.","Lisa","G","Wick","F","lisa.wick@gmail.com","Heath Wick","Yun Wick","Bramble","12/25/1995","07:03:09 AM","21.61","46","5/17/2017","Q2","H1","2017","5","May","May","17","Wednesday","Wed","0.2","162121","26%","128-98-0472","423-540-1697","Memphis","Memphis","Memphis","TN","37544","South","lgwick","a>_tar\<yP"
"787265","Prof.","Frankie","S","Owings","M","frankie.owings@yahoo.co.in","Roberto Owings","Katy Owings","Sunderland","6/15/1993","02:17:38 AM","24.13","57","5/10/2017","Q2","H1","2017","5","May","May","10","Wednesday","Wed","0.22","42901","10%","497-29-4210","314-538-1516","Sturgeon","Boone","Sturgeon","MO","65284","Midwest","fsowings","z#0PZS2Z/0o&tWm"
"696561","Mr.","Joe","K","Gowan","M","joe.gowan@comcast.net","Jarod Gowan","Alecia Gowan","Short","4/20/1980","08:04:37 PM","37.3","88","9/6/2013","Q3","H2","2013","9","September","Sep","6","Friday","Fri","3.89","164300","27%","420-67-2813","236-683-3184","Blackstone","Blackstone","Blackstone","VA","23825","South","jkgowan","PT5gTRy*\[N9"
"965373","Hon.","Trey","M","Joshua","M","trey.joshua@hotmail.com","Eusebio Joshua","Liliana Joshua","Lamoureux","8/9/1986","01:12:11 AM","30.99","90","7/8/2012","Q3","H2","2012","7","July","Jul","8","Sunday","Sun","5.06","59082","19%","256-99-1323","239-338-7233","Opa Locka","Miami-Dade","Opa Locka","FL","33055","South","tmjoshua","WVl$eh#RC^8"
"133611","Dr.","Felix","W","Imhoff","M","felix.imhoff@charter.net","Victor Imhoff","Irina Imhoff","Levasseur","1/9/1962","12:13:26 AM","55.59","81","6/3/1985","Q2","H1","1985","6","June","Jun","3","Monday","Mon","32.17","64560","16%","299-15-3804","205-298-6005","Needham","Choctaw","Needham","AL","36915","South","fwimhoff","h1bbZ1aH<s4"
"602077","Dr.","Sammie","D","Irick","M","sammie.irick@charter.net","Renato Irick","Tommy Irick","Mayers","7/16/1967","01:56:55 PM","50.07","80","7/12/2009","Q3","H2","2009","7","July","Jul","12","Sunday","Sun","8.05","149343","23%","647-21-5942","217-690-9432","Philo","Champaign","Philo","IL","61864","Midwest","sdirick","u1_O2kLd&H"
"356131","Hon.","Dominick","I","Yager","M","dominick.yager@aol.com","Amado Yager","Deborah Yager","Bello","5/20/1984","09:02:29 PM","33.21","70","12/18/2009","Q4","H2","2009","12","December","Dec","18","Friday","Fri","7.61","93696","18%","567-99-9020","262-374-8234","Elroy","Juneau","Elroy","WI","53929","Midwest","diyager","Mo/a0#{hlizmsA"
"893395","Ms.","Tatiana","I","Badillo","F","tatiana.badillo@walmart.com","Charlie Badillo","Rikki Badillo","Bodnar","3/10/1977","05:08:42 AM","40.41","57","4/23/2012","Q2","H1","2012","4","April","Apr","23","Monday","Mon","5.27","94534","8%","285-15-6291","209-371-6850","Farmington","San Joaquin","Farmington","CA","95230","West","tibadillo","HkWmAeEv]b$S"
"663907","Mr.","Alec","Q","Odaniel","M","alec.odaniel@sbcglobal.net","Dorian Odaniel","Coreen Odaniel","Hovis","12/17/1966","08:34:32 AM","50.65","74","9/20/1991","Q3","H2","1991","9","September","Sep","20","Friday","Fri","25.87","88011","11%","196-84-5971","405-469-6189","Leflore","Le Flore","Leflore","OK","74942","South","aqodaniel","f#C/bJr~>P*bd"
"936407","Mr.","Hung","H","Ontiveros","M","hung.ontiveros@hotmail.com","Ricardo Ontiveros","Rachell Ontiveros","Rizzo","8/14/1974","03:06:06 PM","42.98","62","4/4/1997","Q2","H1","1997","4","April","Apr","4","Friday","Fri","20.33","170128","5%","714-18-8376","217-955-0988","Eleroy","Stephenson","Eleroy","IL","61027","Midwest","hhontiveros","fu]2U#go$[75T}g"
"357807","Hon.","Noe","V","Stanger","M","noe.stanger@verizon.net","Emmitt Stanger","Leda Stanger","Dickerson","6/9/1984","07:56:26 PM","33.16","77","12/6/2016","Q4","H2","2016","12","December","Dec","6","Tuesday","Tue","0.64","192182","20%","520-61-5247","236-530-3927","The Plains","The Plains","The Plains","VA","22171","South","nvstanger","r!j~^yYv8G"
"874367","Mr.","Omar","J","Chadwick","M","omar.chadwick@ntlworld.com","Donnie Chadwick","Brook Chadwick","Jefferson","5/23/1989","03:55:32 PM","28.2","69","9/18/2013","Q3","H2","2013","9","September","Sep","18","Wednesday","Wed","3.86","176559","10%","031-92-1134","339-360-7443","Lynnfield","Essex","Lynnfield","MA","1940","Northeast","ojchadwick","w+qxHs1JaM@Pr;^"
"704625","Ms.","Adena","W","Engram","F","adena.engram@gmail.com","Mathew Engram","Esperanza Engram","Showers","3/26/1965","05:03:29 PM","52.38","57","10/16/2006","Q4","H2","2006","10","October","Oct","16","Monday","Mon","10.79","141816","11%","316-35-5611","270-855-9637","Hyden","Leslie","Hyden","KY","41749","South","awengram","byh7?]].P@Ub"
"766077","Drs.","Tangela","A","Woody","F","tangela.woody@ntlworld.com","Charles Woody","Maritza Woody","Schuck","1/12/1966","08:58:35 AM","51.58","43","4/2/2017","Q2","H1","2017","4","April","Apr","2","Sunday","Sun","0.32","41509","30%","550-99-3971","217-399-1379","Elmhurst","DuPage","Elmhurst","IL","60126","Midwest","tawoody","7vXr/RMcIXs"
"609177","Ms.","Rosaria","P","Buettner","F","rosaria.buettner@gmail.com","Elwood Buettner","Antionette Buettner","Mcghee","3/10/1988","11:13:35 PM","29.4","59","3/27/2009","Q1","H1","2009","3","March","Mar","27","Friday","Fri","8.34","112525","11%","762-12-0845","215-967-4072","Jessup","Lackawanna","Jessup","PA","18434","Northeast","rpbuettner","y$O\19}D;lUSv"
"917607","Dr.","Odis","F","Theis","M","odis.theis@gmail.com","Sterling Theis","Merlene Theis","Mccarthy","3/12/1977","04:22:23 AM","40.41","56","11/24/2013","Q4","H2","2013","11","November","Nov","24","Sunday","Sun","3.68","55083","8%","607-87-6727","209-991-2644","Harmony","San Luis Obispo","Harmony","CA","93435","West","oftheis","i1>MxM~;Ww3vUcM"
"402001","Ms.","Dorris","I","Vaught","F","dorris.vaught@gmail.com","Mose Vaught","Christy Vaught","Goodrum","4/16/1991","10:53:07 PM","26.3","52","2/22/2017","Q1","H1","2017","2","February","Feb","22","Wednesday","Wed","0.43","166591","22%","518-89-9704","239-699-7316","Tampa","Hillsborough","Tampa","FL","33663","South","divaught","p*tQ%+|^~"
"806331","Mr.","Vincenzo","L","Whiteley","M","vincenzo.whiteley@hotmail.com","Ricky Whiteley","Georgene Whiteley","Wurth","7/5/1992","07:40:03 PM","25.08","72","12/4/2013","Q4","H2","2013","12","December","Dec","4","Wednesday","Wed","3.65","58403","11%","447-27-8979","229-389-8098","Tiger","Rabun","Tiger","GA","30576","South","vlwhiteley","t6!/fL7W/."
"151735","Mr.","Reyes","N","Holmes","M","reyes.holmes@hotmail.com","Stanford Holmes","Tammi Holmes","Murchison","6/4/1967","06:38:44 PM","50.18","75","12/20/2007","Q4","H2","2007","12","December","Dec","20","Thursday","Thu","9.61","70020","2%","719-18-0984","314-216-2321","Saint Louis","St. Louis (city)","Saint Louis","MO","63113","Midwest","rnholmes","eDri7c;vp.sm8/6"
"670371","Mrs.","Deedra","X","Bosch","F","deedra.bosch@gmail.com","Teodoro Bosch","Louise Bosch","Tabb","6/10/1968","12:59:13 AM","49.16","46","12/16/2004","Q4","H2","2004","12","December","Dec","16","Thursday","Thu","12.62","165045","2%","235-57-0554","209-810-5884","Madera","Madera","Madera","CA","93636","West","dxbosch","Pjqrc/r<1r1C"
"327161","Drs.","Kam","G","Hazel","F","kam.hazel@hotmail.com","Dean Hazel","Corrinne Hazel","Bouffard","5/29/1981","11:25:41 PM","36.19","56","7/10/2012","Q3","H2","2012","7","July","Jul","10","Tuesday","Tue","5.05","43286","23%","079-02-4430","319-812-8571","Andrew","Jackson","Andrew","IA","52030","Midwest","kghazel","Wd&@hz<TYbz"
"381129","Drs.","Flavia","T","Kowalski","F","flavia.kowalski@hotmail.com","Kory Kowalski","Sheri Kowalski","Koonce","5/19/1994","08:11:38 PM","23.21","55","6/29/2017","Q2","H1","2017","6","June","Jun","29","Thursday","Thu","0.08","97912","0%","538-71-9268","252-905-3835","Durham","Durham","Durham","NC","27708","South","ftkowalski","ugJGX:-*]7"
"273207","Mr.","Mike","L","Rohr","M","mike.rohr@gmail.com","Mac Rohr","Curtis Rohr","Catlin","8/24/1988","10:47:53 AM","28.95","56","1/23/2012","Q1","H1","2012","1","January","Jan","23","Monday","Mon","5.52","173750","8%","450-99-8172","206-285-4778","Sprague","Lincoln","Sprague","WA","99032","West","mlrohr","qP^|Ja76EBX"
"879855","Mrs.","Adrian","Y","Rayborn","F","adrian.rayborn@gmail.com","German Rayborn","Aleen Rayborn","Hudgins","2/28/1966","05:36:41 AM","51.45","46","10/26/2013","Q4","H2","2013","10","October","Oct","26","Saturday","Sat","3.76","144529","23%","678-22-6773","423-999-8278","Red Boiling Springs","Macon","Red Boiling Springs","TN","37150","South","ayrayborn","18<$Tnz}|QT"
"421181","Mrs.","Sidney","X","Lindstrom","F","sidney.lindstrom@cox.net","Williams Lindstrom","Vanetta Lindstrom","Canter","3/29/1985","12:39:35 AM","32.35","52","6/8/2017","Q2","H1","2017","6","June","Jun","8","Thursday","Thu","0.14","139848","18%","124-98-8645","314-820-5803","Vandalia","Audrain","Vandalia","MO","63382","Midwest","sxlindstrom","9[C-6Zer2H_lV&"
"195233","Mr.","Carlton","D","Jalbert","M","carlton.jalbert@shaw.ca","Wilber Jalbert","Reagan Jalbert","Laing","9/8/1959","05:58:09 AM","57.93","58","2/5/2013","Q1","H1","2013","2","February","Feb","5","Tuesday","Tue","4.48","56462","23%","362-39-4302","212-532-3562","New Berlin","Chenango","New Berlin","NY","13411","Northeast","cdjalbert","A#qgF09Hi0C"
"471845","Ms.","Jeanett","N","Darden","F","jeanett.darden@gmail.com","Adolfo Darden","Olinda Darden","Stromberg","3/9/1960","08:54:19 PM","57.42","49","6/17/1988","Q2","H1","1988","6","June","Jun","17","Friday","Fri","29.13","53469","12%","073-02-5369","252-345-8040","Charlotte","Mecklenburg","Charlotte","NC","28261","South","jndarden","Kq%HsO7OTkr@pQy"
"527371","Ms.","Kenya","J","Irizarry","F","kenya.irizarry@hotmail.co.uk","Alonso Irizarry","Zaida Irizarry","Stewart","10/23/1982","05:29:31 AM","34.79","41","11/13/2016","Q4","H2","2016","11","November","Nov","13","Sunday","Sun","0.7","91814","11%","349-08-3359","701-539-4671","Denhoff","Sheridan","Denhoff","ND","58430","Midwest","kjirizarry","id3Ij+;Lx"
"315817","Mrs.","Marti","W","Brewton","F","marti.brewton@gmail.com","Anton Brewton","Madelyn Brewton","Sublett","4/16/1979","07:11:55 PM","38.31","42","6/22/2015","Q2","H1","2015","6","June","Jun","22","Monday","Mon","2.1","198686","24%","111-98-5790","216-684-2632","Nashville","Holmes","Nashville","OH","44661","Midwest","mwbrewton","N{sYLQnYx#GG>U_"
"907609","Dr.","Ervin","J","Wescott","M","ervin.wescott@ibm.com","Melvin Wescott","Drew Wescott","Tobar","4/16/1958","10:53:49 AM","59.32","65","9/27/1980","Q3","H2","1980","9","September","Sep","27","Saturday","Sat","36.86","182279","5%","653-60-8570","304-752-8232","Ovapa","Clay","Ovapa","WV","25150","South","ejwescott","zfnN?v/IE&k+<P+"
"127957","Ms.","Nelia","T","Lopez","F","nelia.lopez@gmail.com","Carmen Lopez","Mercy Lopez","Scheer","1/9/1989","02:34:00 PM","28.57","41","7/9/2011","Q3","H2","2011","7","July","Jul","9","Saturday","Sat","6.06","88806","6%","347-08-2073","270-967-8350","Louisville","Jefferson","Louisville","KY","40290","South","ntlopez","5u3f<8iM5JNlWlu"
"284601","Mr.","Felton","B","Tooley","M","felton.tooley@aol.com","Ferdinand Tooley","Beatriz Tooley","Blanchard","1/14/1994","06:19:59 PM","23.55","79","5/4/2017","Q2","H1","2017","5","May","May","4","Thursday","Thu","0.23","192833","8%","532-71-1533","228-870-6874","Terry","Hinds","Terry","MS","39170","South","fbtooley","3op0oF&VJ"
"526711","Mrs.","Kathryn","C","Katz","F","kathryn.katz@gmail.com","Bill Katz","Thalia Katz","Moxley","12/26/1989","09:02:41 AM","27.61","43","9/22/2015","Q3","H2","2015","9","September","Sep","22","Tuesday","Tue","1.85","152496","12%","188-86-2488","605-935-7823","Houghton","Brown","Houghton","SD","57449","Midwest","kckatz","k;GWE<f[Ye:Be"
"610043","Mr.","Josue","Y","Engstrom","M","josue.engstrom@gmail.com","Edmundo Engstrom","Eugenia Engstrom","Redford","7/28/1959","11:04:39 AM","58.04","63","9/23/2008","Q3","H2","2008","9","September","Sep","23","Tuesday","Tue","8.85","109732","2%","138-25-7082","405-873-8130","Langston","Logan","Langston","OK","73050","South","jyengstrom","ODNfgQgu51uB+V"
"706947","Hon.","Elden","E","Nadeau","M","elden.nadeau@gmail.com","Geraldo Nadeau","Maryalice Nadeau","Carraway","4/22/1970","12:21:15 AM","47.3","82","6/9/1995","Q2","H1","1995","6","June","Jun","9","Friday","Fri","22.15","191570","12%","110-98-1203","209-955-1537","Chico","Butte","Chico","CA","95928","West","eenadeau","eEDG+yCx+OT&O"
"302101","Hon.","Stefania","M","Sublett","F","stefania.sublett@ibm.com","Harley Sublett","Myung Sublett","Lunde","8/19/1979","01:11:26 PM","37.97","59","7/13/2014","Q3","H2","2014","7","July","Jul","13","Sunday","Sun","3.04","83922","7%","721-18-5902","314-801-5551","Kansas City","Jackson","Kansas City","MO","64124","Midwest","smsublett","I@AbEEba"
"440411","Drs.","Nydia","D","Flake","F","nydia.flake@hotmail.com","Zack Flake","Winter Flake","Bashaw","12/18/1959","12:36:21 AM","57.65","53","4/8/1981","Q2","H1","1981","4","April","Apr","8","Wednesday","Wed","36.33","123144","20%","406-73-9033","205-421-4069","East Tallassee","Tallapoosa","East Tallassee","AL","36023","South","ndflake","p8aBn/Y~;b"
"754161","Mrs.","Mariko","R","Colombo","F","mariko.colombo@hotmail.com","Brent Colombo","Karen Colombo","Cardoza","5/26/1961","12:15:06 AM","56.21","52","1/20/1990","Q1","H1","1990","1","January","Jan","20","Saturday","Sat","27.54","86640","29%","588-09-9705","314-252-6903","Cedarcreek","Taney","Cedarcreek","MO","65627","Midwest","mrcolombo","A8zp2Pc/7I"
"682431","Mr.","Luigi","Y","Gutshall","M","luigi.gutshall@apple.com","Thanh Gutshall","Charissa Gutshall","Smith","11/10/1962","07:10:06 AM","54.75","84","10/11/1991","Q4","H2","1991","10","October","Oct","11","Friday","Fri","25.81","182665","25%","720-18-3185","219-837-1376","Sullivan","Sullivan","Sullivan","IN","47882","Midwest","lygutshall","Z.x-f3nT0"
"405969","Mrs.","Lyn","O","Hayman","F","lyn.hayman@aol.com","Man Hayman","Xochitl Hayman","Werth","1/16/1962","09:34:07 AM","55.57","48","5/16/2007","Q2","H1","2007","5","May","May","16","Wednesday","Wed","10.21","156515","13%","542-81-7606","262-599-9261","Sun Prairie","Dane","Sun Prairie","WI","53591","Midwest","lohayman","23D%7zQt*#tn;z"
"336151","Hon.","Mandie","F","Lemmons","F","mandie.lemmons@shell.com","Marc Lemmons","Kamala Lemmons","Placencia","4/6/1963","09:51:34 AM","54.35","57","9/29/2010","Q3","H2","2010","9","September","Sep","29","Wednesday","Wed","6.83","174641","21%","762-12-6159","319-369-8786","Le Mars","Plymouth","Le Mars","IA","51031","Midwest","mflemmons","R{FvNGPCrQGlR"
"715775","Mr.","Chung","C","Destefano","M","chung.destefano@aol.com","Thurman Destefano","Scott Destefano","Linville","3/23/1973","12:32:14 AM","44.38","69","8/29/1998","Q3","H2","1998","8","August","Aug","29","Saturday","Sat","18.93","161040","20%","647-21-3898","210-309-2457","Weatherford","Parker","Weatherford","TX","76087","South","ccdestefano","FWKOG4A3"
"481509","Mr.","Garland","C","Carter","M","garland.carter@gmail.com","Keenan Carter","Virginia Carter","Bosley","1/25/1970","03:36:10 AM","47.54","51","4/30/1994","Q2","H1","1994","4","April","Apr","30","Saturday","Sat","23.26","122573","25%","459-99-6342","219-531-3563","Zionsville","Boone","Zionsville","IN","46077","Midwest","gccarter","EX6DX0\OJ6B{H"
"340069","Mr.","Edmund","P","Otto","M","edmund.otto@bp.com","Kirby Otto","Marylynn Otto","Whitaker","7/16/1960","06:28:36 AM","57.07","75","12/20/1992","Q4","H2","1992","12","December","Dec","20","Sunday","Sun","24.62","196010","28%","606-87-3648","201-232-8565","Normandy Beach","Ocean","Normandy Beach","NJ","8739","Northeast","epotto","Ak]TWFP{VV9"
"130437","Ms.","Lia","Z","Meehan","F","lia.meehan@gmail.com","Preston Meehan","Siu Meehan","Mcgarry","4/28/1986","09:18:51 AM","31.27","58","10/13/2014","Q4","H2","2014","10","October","Oct","13","Monday","Mon","2.79","171587","13%","381-37-2147","803-600-1193","Greenwood","Greenwood","Greenwood","SC","29647","South","lzmeehan","6B%nS9Vj"
"605633","Mr.","Jesse","V","Kenny","M","jesse.kenny@yahoo.co.uk","Samuel Kenny","Magdalene Kenny","Plumlee","5/28/1994","07:09:41 AM","23.18","55","5/20/2017","Q2","H1","2017","5","May","May","20","Saturday","Sat","0.19","87190","2%","270-17-8357","210-423-5964","Rocksprings","Edwards","Rocksprings","TX","78880","South","jvkenny","dm33nvKx0h0~RM2"
